,question,answer,img_id,type
167,"những gì, vẫn có khuôn mặt thân thiện",con bò,412887,0
168,một số bánh mì nướng ở đâu,lò vi sóng,129006,3
169,cái gì đang ngồi cạnh màn hình máy tính bên cạnh loa,con mèo,371117,0
170,có gì đỗ bên cạnh một chiếc xe buýt cũ,xe ô tô,543043,0
171,có bao nhiêu con ngựa vằn gặm cỏ trên cây bụi trong tự nhiên,một,45535,1
172,có bao nhiêu người cưỡi ván trượt trên đường phố của họ,hai,73897,1
173,những gì đang đi trong dòng nước qua một số nước,con chim,495541,0
174,màu của con ngựa là gì,màu nâu,486247,2
175,những gì đầy thỏ và chim,hộp,388014,0
176,màu của sợi dây là gì,màu cam,100647,2
177,có bao nhiêu người đàn ông đang ngồi trên một chiếc thuyền nhỏ trong nước,hai,229350,1
178,nhiều bát đĩa nằm ở đâu,chậu,29377,3
179,hai người đàn ông sử dụng máy tính xách tay ở đâu,cửa tiệm,477468,3
180,có bao nhiêu người trên một chiếc thuyền nhỏ trong đại dương,bốn,576733,1
181,hai người phụ nữ đang giữ những chiếc ô hướng dương trong khi đi trên một cơn mưa ướt sũng,đường đi bộ,547962,0
182,những gì tàu kéo than đứng trên một mặt trước một kho,tàu,546524,0
183,những gì chứa đầy rau xào và một cái muỗng gỗ,chảo,504005,0
184,màu của cây là gì,màu cam,340103,2
185,những gì được đăng trên đá bởi một hồ nước,con chim,548275,0
186,một số trẻ em đang cưỡi trên một đoạn đường dốc,ván trượt,409345,0
187,nhóm người làm việc ở đâu,phòng bếp,66231,3
188,người đàn ông có râu ăn ở đâu,văn phòng,361469,3
189,màu của chiếc bình là gì,màu đen,51124,2
190,cái gì đỗ cùng với con đường đất,phương tiện giao thông,475042,0
191,có bao nhiêu người trong bộ đồ toàn thân và một người không đứng ngoài ván lướt sóng trên bãi biển,hai,497801,1
192,những gì bay lên bầu trời vào ban đêm,tòa tháp,370123,0
193,có bao nhiêu người đang mỉm cười và cầm ly rượu,bốn,387075,1
194,màu của đá là gì,màu xám,265982,2
195,màu của phòng tắm là gì,màu đen,21622,2
196,cây bồ công anh chết ở đâu,lọ cắm hoa,569530,3
197,màu của ghế là gì,màu xanh dương,49062,2
198,người đàn ông đứng ở đâu,phòng,514567,3
199,người đàn ông đang ngồi ở đâu,xe ô tô,428149,3
200,những gì làm cho một loạt các xe máy xếp hàng?,cây,510755,0
201,màu của sàn là gì,màu xám,195761,2
202,màu của bếp là gì,màu trắng,127495,2
203,cặp vợ chồng đang đứng ở đâu,phòng,314849,3
204,bông hoa ở đâu,lọ cắm hoa,237851,3
205,những gì nằm xung quanh máy bay trên đường băng,rào chắn,465664,0
206,nhà vệ sinh không có chỗ ngồi ở đâu,phòng tắm,441483,3
207,màu của con mèo là gì,màu đen,218574,2
208,có gì được cập cảng tại bến tàu này,con thuyền,517425,0
209,có bao nhiêu con ngựa vằn đang gặm cỏ cao trên thảo nguyên,hai,10733,1
210,những gì đang nằm trong một nhà bếp,bếp,556230,0
211,người phụ nữ cưỡi trượt xuống một bên tuyết bao phủ là gì,núi,440062,0
212,màu của xe buýt là gì,màu đỏ,52693,2
213,ngôi nhà rất đẹp được sắp xếp rất tốt những gì,nhiều cái ghế,558673,0
214,người đàn ông nằm ở đâu,giường,300375,3
215,những gì được dự trữ với thức ăn,tủ đá,455974,0
216,người đàn ông có râu mũm mĩm đang cầm cái gì,đồ uống,347254,0
217,cái gì đang rúc vào mặt nhau vậy,ngựa vằn,478553,0
218,màu của con bò là gì,màu đen,303012,2
219,tàu sắt anh đang đợi ở đâu,trạm,404739,3
220,những gì được nhìn thấy trên đĩa,pizza,520154,0
221,những gì đang đi qua cỏ và cát trên bãi biển,hươu cao cổ,531607,0
222,màu của lông là gì,màu xanh dương,563559,2
223,điều gì thu hút con mèo tò mò,truyền hình,516408,0
224,bốn người đàn ông đang lập văn phòng và ăn gì vậy,bữa trưa,365626,0
225,trẻ nhỏ đang giữ và đi xuống một bãi biển là gì,diều,397151,0
226,nơi có bồn tắm lớn một mình với nhiều tủ,phòng tắm,407911,3
227,màu của áo là gì,màu nâu,419489,2
228,những gì hiển thị tập trung vào bình lớn,sân vườn,426852,0
229,cái gì trên đĩa đã sẵn sàng để ăn,pizza,359239,0
230,chưa hoàn thành những gì chỉ với một đế vòi hoa sen được lắp đặt,phòng tắm,382734,0
231,màu của dấu là gì,màu đỏ,362278,2
232,xe đẩy xanh là gì đi qua,trạm,384503,0
233,có gì đứng sau những bụi cây trong tự nhiên,hươu cao cổ,458572,0
234,màu của chiếc thẻ là gì,màu cam,318467,2
235,có bao nhiêu người đang cưỡi ngựa và hướng dẫn viên,ba,530242,1
236,màu sắc của bông hoa là gì,màu tía,113845,2
237,cái gì đang đậu trên khu vực gạch,xe máy,356263,0
238,người đàn ông mỉm cười ở đâu và một người phụ nữ đứng,phòng bếp,161567,3
239,những gì đang đứng xung quanh không làm gì cả,hươu cao cổ,474471,0
240,có bao nhiêu pizza hình vuông một lạp xưởng thịt viên khác,hai,508582,1
241,những gì đỗ với những cái khác trong một bãi đậu xe,xe máy,561037,0
242,màu sắc của công viên là gì,màu đỏ,120385,2
243,màu sắc của một,màu nâu,542814,2
244,những gì nhìn ra hồ pha lê,băng ghế,397109,0
245,màu sắc của cậu bé là gì,màu đen,423389,2
246,"cái gì đang ngồi trên bàn, dường như có tất cả mọi thứ trên đó",pizza,366677,0
247,thuyền đậu ở đâu,bến du thuyền,345944,3
248,những gì được hiển thị trong ánh sáng mờ,vòi,440729,0
249,màu của xe buýt là gì,màu vàng,246396,2
250,mèo đen và trắng béo ở đâu,tủ đá,242210,3
251,đàn bò đứng ở đâu,đường bộ,157792,3
252,màu của các loại hạt là gì,màu xanh lá,481120,2
253,những gì đi qua trên đường phố,tàu hỏa,415840,0
254,con gấu hoặc một số loại động vật lớn đang nắm chặt là gì,cây,347529,0
255,màu của bánh là gì,màu xanh lá,271254,2
256,có bao nhiêu người đứng với ván trượt tạo dáng chụp ảnh trong tuyết,năm,244577,1
257,những gì đỗ trong cỏ bên cạnh nhau,xe tải,503404,0
258,chuối được trưng bày ở đâu,cửa hàng,303668,3
259,cái gì bên cạnh ngọn nến trên bàn,lọ cắm hoa,376365,0
260,những gì đang kéo một chiếc xe ngựa khi những người ngồi bên lề đường,con ngựa,391829,0
261,cái gì đang ngồi trên đường ray,tàu hỏa,346517,0
262,những gì đang ngồi trên gờ của một cửa sổ thư giãn,con chim,566038,0
263,xe tải màu xám đang ở đâu,đường phố,364266,3
264,những gì gắn vào bên của một tòa nhà,đồng hồ,551780,0
265,những gì đang ngồi trên một chiếc ghế bập bênh lỗi thời,con chó,461156,0
266,màu của bàn chải đánh răng là gì,màu cam,472390,2
267,có bao nhiêu cô gái trẻ đang ngồi trên ghế dài nhắn tin trên điện thoại di động của họ,hai,534162,1
268,có bao nhiêu chiếc bánh pizza trên chảo đang ngồi trên bếp,hai,218964,1
269,có bao nhiêu con gấu bông nâu được xếp trên kệ,bốn,357113,1
270,người đang làm việc ở đâu,cửa tiệm,460139,3
271,cái gì đang đậu trên đường bên cạnh một chiếc xe tải,xe máy,359715,0
272,màu của ghế là gì,màu xanh dương,258854,2
273,người đàn ông và phụ nữ đang chuẩn bị thức ăn ở đâu,phòng bếp,121226,3
274,những gì đang ăn ngoài đất trong một khu vực hẻo lánh,con voi,463751,0
275,màu của thùng là gì,màu xanh dương,186646,2
276,người đang giữ một dấu hiệu đi chậm lại ở đâu,áo vest,55882,3
277,bức ảnh này hiển thị cái gì,cái bàn,340155,0
278,có bao nhiêu máy bay trong đội hình bay tốc độ trên bầu trời,bảy,423231,1
279,con chó đang ở đâu,cái ví,365236,3
280,hai người đàn ông và hai người phụ nữ đang uống ở đâu,quán bar,175798,3
281,màu của gấu là gì,màu đen,337962,2
282,cái gì đang ngồi trong một công viên cây xanh trống rỗng,băng ghế,371155,0
283,những gì nhìn từ phía sau ngồi bên cửa sổ trên một tấm thảm,con mèo,449660,0
284,người phụ nữ đang cầm gì để phục vụ bóng,vợt,397101,0
285,gấu bông ngồi ở đâu,cái ghế,149566,3
286,mọi người đang đi đâu,con thuyền,17712,3
287,có bao nhiêu phụ nữ xinh đẹp ngồi trên và đứng gần xe máy,hai,385248,1
288,có bao nhiêu món tráng miệng trong hộp các tông màu trắng,sáu,102589,1
289,có bao nhiêu phụ nữ ngồi trên băng ghế công viên với cửa hàng tạp hóa,bốn,549599,1
290,một người đàn ông đang vuốt ve một con mèo ở đâu,cửa sổ,54743,3
291,người phụ nữ cưỡi trên con dốc tuyết phủ,ván trượt,363126,0
292,cái gì đậu trên cánh đồng xanh bên cạnh các phương tiện khác,xe tải,360064,0
293,xe tay ga và xe tải nhỏ ở bãi biển cái gì,bến tàu,345027,0
294,có bao nhiêu con mèo đang thư giãn trong chăn êm ái trên đi văng,hai,162178,1
295,có bao nhiêu người đàn ông xếp hàng trên ván trượt trong rất nhiều,năm,15919,1
296,hoa đỏ được cắm ở đâu,lọ cắm hoa,2150,3
297,có bao nhiêu con hươu cao cổ đang gặm cỏ trên cây với cánh đồng cỏ bên dưới,hai,493161,1
298,màu của con mèo là gì,màu đen,469918,2
299,màu của cà vạt là gì,màu đỏ,102281,2
300,những gì bên cạnh nước,con vịt,344773,0
301,cái gì đang đứng trên thuyền đánh cá,con bò,382670,0
302,pizza đang ở đâu,hộp,379845,3
303,có bao nhiêu chiếc máy bay một động cơ bay trên không vào một ngày nhiều mây,bốn,5947,1
304,những gì đỗ trên vỉa hè gần một tòa nhà,xe máy,421952,0
305,những gì đỗ trên đường phố với các dấu hiệu dừng đánh giá xung quanh,xe cộ,433904,0
306,có bao nhiêu người trên một chiếc mô tô với một người treo trước và một người khác treo sau,ba,459543,1
307,tòa nhà với giá đồng hồ ở đâu,đường phố,576219,3
308,cái gì đang nằm trên giường với vỏ dày,con chó,401991,0
309,thứ gì đang rơi ra trên ghế của một chiếc xe máy,con mèo,513585,0
310,những gì đang ngồi dọc theo một con phố,tòa nhà,361142,0
311,cậu bé đọc sách cho em trai mình ở đâu,giường,274108,3
312,có bao nhiêu người đang đi trong cơn mưa nhẹ trên con đường rợp bóng cây,hai,127911,1
313,có bao nhiêu chiếc thuyền đang ngồi trên bãi biển,năm,353518,1
314,những gì đang đứng gần ao đầy nước,con voi,501790,0
315,những gì đang đi bộ bên cạnh bãi biển,gia súc,382671,0
316,màu của áo là gì,màu trắng,171585,2
317,một số trái cây đang phát triển ở đâu,sân vườn,257029,3
318,màu của cà vạt là gì,màu tía,497172,2
319,những gì nằm trong hộp giấy,donut,497484,0
320,những gì đỗ trên đỉnh của một tầng lát gạch,xe máy,444926,0
321,những gì đang đi xuống một số đường ray,động cơ,471737,0
322,màu sắc của cánh là gì,màu vàng,216036,2
323,người phụ nữ bên ngoài sửa chữa gì,chiếc ô,520237,0
324,những gì chứa cả máy tính xách tay và máy tính pc và màn hình,cái bàn,531697,0
325,màu sắc của đèn giao thông là gì,màu vàng,525187,2
326,bó hoa hỗn hợp được cắm ở đâu,lọ cắm hoa,78640,3
327,những gì cắt làm đôi và một tách cà phê,sandwich,414236,0
328,những gì đang đi trên đường ray,tàu hỏa,565331,0
329,những gì đang nằm cạnh một tấm gương và chứa đầy hoa,lọ cắm hoa,569700,0
330,tủ lạnh hé cửa để ánh sáng chiếu ở đâu,phòng bếp,476111,3
331,màu sắc của xe buýt là gì,màu đỏ,360528,2
332,người phụ nữ cưỡi những gì giữ một chiếc ô,xe đạp,407225,0
333,"những gì kéo lên bên cạnh điểm dừng, chờ đợi mọi người vào",xe buýt,505162,0
334,có bao nhiêu chiếc máy bay đóng thế đang bay rất gần nhau,bốn,161973,1
335,người phụ nữ đặt một số món đồ để cô ấy có thể hòa chúng vào nhau ở đâu,máy xay,575060,3
336,những gì nằm trên đường đua trong một vịnh được bảo hiểm,tàu hỏa,399567,0
337,con mèo đen nhỏ đang ngồi ở đâu,cái nồi,542946,3
338,màu của cái bát là gì,màu đỏ,327550,2
339,cái gì đậu trong bãi đậu xe,xe tải,371054,0
340,những gì là trong cánh đồng cằn cỗi,hươu cao cổ,400336,0
341,những gì đang đứng cùng nhau trong một khoảng trống,con ngựa,474762,0
342,cái gì ở phía trước máy tính và nhìn vào màn hình,con mèo,573877,0
343,màu của máy bay là gì,màu vàng,198524,2
344,người đàn ông đang ở đâu,đường phố,391956,3
345,có bao nhiêu cô gái trong các đội riêng biệt đang đua nhau đá bóng,hai,580695,1
346,thức ăn dầu mỡ ở đâu trong khi một người đàn ông ăn bữa ăn gần đó,giấy bạc,230570,3
347,màu của con chó là gì,màu trắng,111583,2
348,có bao nhiêu máy tính xách tay trên bàn với một số hình ảnh hiển thị,hai,430889,1
349,cái gì ở đó chứa đầy chất lỏng và chất rắn không xác định,cái lọ,352794,0
350,màu của tường là gì,màu xanh dương,532509,2
351,những gì đang ngồi dưới bầu trời xanh có mây,tòa tháp,338592,0
352,những gì trên mặt đất bên cạnh nhau,vali,364133,0
353,cửa máy bay đang được chuẩn bị ở đâu,ga-ra,183811,3
354,những con bò đang được nuôi cái gì trong khi bị bỏ vào chuồng,cỏ khô,464286,0
355,xe máy màu đỏ đậu ở đâu,đường phố,373128,3
356,những gì đang đứng trên một tảng đá nhìn chằm chằm xuống máy ảnh,gấu,450004,0
357,màu của bánh là gì,màu trắng,531362,2
358,có bao nhiêu người đàn ông đang chạm tay nhau dưới mái nhà bạt màu đỏ,hai,6906,1
359,người lướt sóng đang giữ một ván lướt sóng trắng mang gì,áo ba lỗ,461838,0
360,có gì đang hiển thị cảnh báo bị nhỡ trên màn hình,điện thoại,367313,0
361,có bao nhiêu phụ nữ mặc váy hoa đang ngồi vào bàn,bốn,430257,1
362,màu của bãi cỏ là gì,màu xanh lá,448698,2
363,có bao nhiêu nhà vệ sinh vỡ thành nhiều mảnh ở giữa hai nhà vệ sinh khác trong một bãi cỏ gần vỉa hè,một,543182,1
364,cái gì trong đĩa và bát,chén đĩa,346138,0
365,những gì đang ngồi trước một tv được bật,con chó,407202,0
366,màu của diều là gì,màu vàng,547439,2
367,cái gì đang nằm trên ghế,con mèo,546622,0
368,những gì có thể được nhìn thấy trong ảnh đen trắng,xe máy,575544,0
369,cái gì mà cặp tay cầm màu đỏ với cây bút màu đen đặt trên chúng,cây kéo,430762,0
370,màu của bông hoa là gì,màu tía,292982,2
371,ai đó đang giữ một chiếc bánh sandwich,cái mâm,52096,3
372,ghế được gấp lại ở đâu,phương tiện giao thông,477061,3
373,cô gái giữ cái gì,ván lướt sóng,376667,0
374,màu của chiếc đĩa là gì,màu cam,342724,2
375,những gì phơi bày tất cả thức ăn bên trong,cửa,512330,0
376,những gì bên ngoài vào giữa mùa đông,con cừu,381786,0
377,con tàu dài đang ngồi ở đâu,trạm,27874,3
378,con chó có lông dài trông gì,cửa sổ,459064,0
379,người đàn ông mặc vest và đeo cà vạt là gì,nước,347254,0
380,người phụ nữ trẻ cưỡi ngựa giữ những gì,lá cờ,385540,0
381,"những gì chứa một số găng tay và những bức ảnh kiểu cũ, với những chiếc cà vạt treo phía trên",hộp,534178,0
382,có bao nhiêu con dao rất sắc được gắn trên tường,bảy,233075,1
383,bánh pizza vỏ mỏng có bao nhiêu trứng chiên làm lớp phủ,ba,210635,1
384,có bao nhiêu bình treo rõ ràng trên các cực kim loại mỏng,ba,549328,1
385,những gì phủ với bánh sandwich thịt lớn và salad,đĩa ăn,462386,0
386,có bao nhiêu máy bay quân sự đang bay trong đội hình,sáu,244206,1
387,cô gái trẻ đang xem điện thoại của cô ấy ở đâu,cái ghế,175541,3
388,nông dân thiết lập những gì,rau,471814,0
389,hai người giữ những gì,chiếc ô,529215,0
390,con mèo xám nhìn gì,cửa sổ,514668,0
391,vải được chất đống ở đâu,chậu,45582,3
392,có bao nhiêu người lướt sóng đang học cách lướt sóng trên đại dương,năm,81988,1
393,màu của lớp phủ là gì,màu trắng,377177,2
394,cái gì đang nằm trên giá đỡ điện thoại di động,điện thoại,556648,0
395,màu của con chim là gì,màu đỏ,374146,2
396,người đàn ông đi xuống phố cầm cái gì,chiếc ô,379259,0
397,cô gái đang mặc áo choàng ở đâu,giường,572174,3
398,cô gái đi bên cạnh một cái cây là gì,con ngựa,400950,0
399,có bao nhiêu vali được xếp chồng lên nhau,năm,40065,1
400,màu của con chó là gì,màu đen,383658,2
401,màu của dĩa nhựa là gì,màu vàng,162828,2
402,màu của bánh là gì,màu cam,176923,2
403,màu của tòa nhà là gì,màu đỏ,107705,2
404,màu của con chim là gì,màu trắng,96679,2
