question,answer,img_id,type
người phụ nữ dẫn dắt điều gì qua một đường phố thành phố,con cừu,486397,0
có bao nhiêu người lướt sóng thay thế vị trí của họ để cưỡi sóng biển,ba,273586,1
ba người đang ở đâu,quán ăn,93894,3
những gì chạy xuống đường ray bên cạnh nhau,xe lửa,430273,0
màu của nước ép là gì,màu cam,251503,2
một số con voi đang đi lên cái gì,đồi,476300,0
cái gì đang đỗ trên cỏ xanh,xe máy,455716,0
màu của con mèo là gì,màu cam,523749,2
màu của dĩa nhựa là gì,màu vàng,162828,2
người phụ nữ lấy một bức ảnh của mình ở đâu,gương,356868,3
bồn tắm nằm ở đâu,cửa sổ,390439,3
cái gì đang túm tụm quanh bồn cỏ,ngựa vằn,367329,0
cái gì dừng ở trạm xe buýt phủ đầy tuyết,xe buýt,361073,0
màu của gấu là gì,màu đen,439940,2
máy bay biên giới ngồi ở đâu,ga-ra,20727,3
những con ruồi trên bầu trời xanh sáng,hải âu,389129,0
màu sắc của chiếc váy là gì,màu xanh dương,202431,2
xe buýt xanh hai tầng dừng ở đâu,ga-ra,488932,3
màu của bảng là gì,màu trắng,283697,2
màu của vòi nước là gì,màu vàng,287228,2
màu của con mèo là gì,màu nâu,198561,2
màu của chiếc ô là gì,màu đỏ,183330,2
cái gì đang chiếu sáng trên máy bay ở phía xa,mặt trời,381709,0
người phụ nữ ở đâu,phòng bếp,332333,3
những gì có xếp chồng lên nhau trên kệ,vali,534664,0
màu của chiếc bình là gì,màu xanh dương,172669,2
màu sắc của bông hoa là gì,màu đỏ,86916,2
những gì đứng đầu với một nửa pizza,chảo,426777,0
màu sắc của con vật đang đi bộ là gì,màu nâu,528882,2
những gì đang ngồi trên một cái tát xi măng bên cạnh một công viên xanh tươi tốt,băng ghế,391371,0
những gì được bao phủ trong lá nhôm là nướng trong lò,món ăn,344795,0
người đàn ông đang ăn bánh cupcake ở đâu,văn phòng,357385,3
em bé đang ngủ ở đâu giữa nhiều cuốn sách ảnh,giường,332270,3
người đàn ông xịt với vòi nước vào gì,con voi,486112,0
người phụ nữ tóc đỏ đang ở đâu,quán ăn,392319,3
những gì được hình dung trong hình ảnh này,sân khấu,429366,0
có bao nhiêu người với gói trở lại và hành lý trên nền tảng tàu,ba,308139,1
những gì đang đi trên đường sắt bên cạnh tuyết,tàu hỏa,393478,0
người đàn ông chuẩn bị một cái gì đó ở đâu,phòng bếp,506641,3
màu của dấu hiệu là gì,màu xanh dương,211439,2
có bao nhiêu con voi ở gần nhau sau hàng rào,hai,95111,1
những gì đậu trên đỉnh của một nhánh cây khô,con chim,396252,0
cái gì đang đẩy ván trượt trong khi bọn trẻ đi bộ,con chó,372874,0
cái gì đang đi xuống con đường về phía hai biển báo đường phố,xe ô tô,499388,0
màu trắng và trông rất sạch sẽ là gì,phòng tắm,507893,0
cái gì neo đậu trên bãi biển,con thuyền,353518,0
cô bé đẻ ở đâu,giường,167057,3
có bao nhiêu người phụ nữ ở đó làm món tráng miệng trong bếp,hai,61773,1
những gì được sắp xếp trên nhiều kệ khác nhau,chén đĩa,543672,0
những gì nằm ở trung tâm của một bảng với các tấm,bánh,405882,0
cái gì đã làm cái bìa vụn nằm trên đầu cái đĩa trên bàn,donut,357620,0
màu của gối là gì,màu trắng,35573,2
màu của cổ áo là gì,màu tía,379226,2
những gì nằm bên cạnh đồng hồ thu nhỏ,đồng hồ,482487,0
những gì đang đứng đằng sau bụi cây,con voi,534151,0
những gì đang đi qua rừng với một chiếc dĩa nhựa màu vàng trong miệng,con chó,546962,0
một số người đi xe đạp ở đâu,đường phố,21528,3
những gì đang đậu ở phía trước của một tòa nhà,xe buýt,334743,0
con hươu cao cổ đi lang thang xung quanh cái gì và ăn từ máng trên tường,lồng,389721,0
màu sắc của bông hoa là gì,màu tía,349621,2
màu của xe buýt là gì,màu xanh lá,279222,2
cửa sổ của tòa nhà thành phố phản ánh trong nền; đèn giao thông nằm ở phía trước,các tòa nhà,447842,0
con mèo đen đang ngồi ở đâu,vali,395170,3
màu mắt là gì,màu vàng,498988,2
màu của cỏ là gì,màu xanh lá,401434,2
màu của xe tải là gì,màu đỏ,227418,2
những gì trang trí bởi những đám hoa,bánh,556873,0
có bao nhiêu con cừu trên đồng cỏ vào một ngày nắng,mười,353302,1
hai người ở đâu với một con chèo,con thuyền,558851,3
những bông hoa trắng ở giữa một cái bàn đặt ở đâu,lọ cắm hoa,375201,3
con mèo trải dài ở đâu,chậu,402590,3
màu của rượu là gì,màu đỏ,204489,2
màu của bông hoa là gì,màu tía,217407,2
những gì chăn thả cỏ trong bao vây của họ,ngựa rằn,444982,0
cái gì nằm trên những cái bánh quy trên đầu lò,pizza,556478,0
hai nải chuối ở đâu,bát,432053,3
người phụ nữ đứng ở đâu,phòng bếp,33761,3
có bao nhiêu đoàn tàu khách ngồi cạnh nhau ở nhà ga,hai,432332,1
những gì đang đứng trên một bề mặt gỗ,con chim,452674,0
con mèo đang nằm ở đâu,ngăn kéo,266029,3
vàng đã cắt những gì trên đỉnh của mái nhà của tòa nhà,đồng hồ,392228,0
màu của áo là gì,màu đen,32720,2
ba người phụ nữ đang làm một số thực phẩm ở đâu,phòng bếp,571653,3
phòng khách trông rất độc đáo và thoải mái ở đâu,nhà ở,148956,3
màu sắc của váy là gì,màu đen,346084,2
những gì làm từ gạch đỏ,tòa tháp,547440,0
màu của áo là gì,màu xanh lá,549256,2
có bao nhiêu chiếc bánh pizza nhỏ được phục vụ trên đĩa gỗ,bốn,324635,1
những gì ngồi cạnh nhau tại nhà ga,xe lửa,432332,0
đứa trẻ nhỏ giữ những gì,gậy,563424,0
những gì có sàn lát gạch và một chiếc giường nhỏ,phòng ngủ,572734,0
những gì được đặt bên cạnh cây trên cỏ,băng ghế,491508,0
con búp bê đang tắm ở đâu,phòng tắm,335087,3
người đàn ông buộc một chiếc cà vạt ở đâu,phòng,554630,3
hai người đàn ông nằm ở đâu,giường,261879,3
màu của đĩa là gì,màu trắng,135041,2
tuyết bao phủ những gì với một đường trượt trượt tuyết xuống,núi,464207,0
con chim đậu ở đâu khi nhìn qua một thành phố,cửa sổ,395973,3
cô gái đang sử dụng máy tính xách tay của trẻ em ở đâu,phòng,437184,3
màu của con ngựa là gì,màu trắng,439595,2
người đàn ông kiểm tra sự phản ánh của mình ở đâu,gương,135392,3
màu của bông hoa là gì,màu trắng,95554,2
màu của gấu là gì,màu trắng,282419,2
đỗ những gì đang đỗ dưới tán,xe tải,545749,0
những gì chứa đầy sushi và rau,hộp,516871,0
cái gì đang đậu trong nhà ga với cờ,xe lửa,565331,0
màu của xe buýt là gì,màu đỏ,145645,2
cái gì đang mở và có rất nhiều trứng,cửa,397322,0
nhóm bò đi bộ ở đâu,đường phố,344482,3
cái gì đang ngồi trên bàn,pizza,436315,0
màu của nước ép là gì,màu cam,272670,2
hai nhà vệ sinh và hai bồn cầu ở đâu,phòng tắm,577107,3
cô gái đang đi đâu,trạm,52238,3
có bao nhiêu con hươu cao cổ đang đứng cùng nhau sau hàng rào,hai,367449,1
màu của con chó là gì,màu đen,314714,2
cánh buồm cao trên bầu trời trong xanh,diều,351621,0
màu của con mèo là gì,màu trắng,275831,2
những gì chuyến tàu chạy dọc theo đường đua bên dưới một cây cầu,tàu,419096,0
người phụ nữ cầm chiếc ô ở đâu,cửa sổ,89207,3
những gì đứng ở trung tâm của một nhà bếp,quầy tính tiền,575970,0
những gì đỗ sau chiếc xe trên sân cỏ,xe máy,436559,0
mặt trời chiếu sáng ở đâu,phòng tắm,420506,3
bồn rửa chén màu trắng ở đâu,phòng tắm,435452,3
những gì đang ngồi trên đường ray xe lửa,tàu hỏa,462244,0
có bao nhiêu doanh nhân đang băng qua đường phố cùng nhau,ba,542442,1
người đàn ông và hai con mèo ở đâu,phòng bếp,125015,3
cái gì đang ngủ trên giường với một trải giường màu đỏ,con mèo,395644,0
có bao nhiêu đĩa các loại thức ăn,ba,135759,1
có bao nhiêu con hươu cao cổ đang đứng cạnh nhau gần một số cây,ba,469392,1
có bao nhiêu con ngựa vằn đang đi trên một hàng trong đất,ba,70158,1
những gì đứng trên cỏ cao trong rừng,con bò,500389,0
màu của cà vạt là gì,màu tía,539340,2
những gì đang đi về phía bức tường đá,gấu,397518,0
màu của ghế là gì,màu đen,46927,2
cái gì đang ngồi trên bàn,bàn phím,356828,0
con hươu cao cổ được đặt ở đâu,vali,502459,3
người chuẩn bị thức ăn ở đâu,phòng bếp,556617,3
người đàn ông bước lên một chiếc máy bay nhỏ đang đậu ở đâu,ga-ra,541541,3
người đàn ông chỉ một máy ảnh kỹ thuật số ở đâu,gương,581396,3
"những gì phủ với thịt, trứng và khoai tây",đĩa ăn,521605,0
một số trẻ em đang vui chơi ở đâu,cửa hàng,526098,3
màu của chiếc bình là gì,màu xanh dương,114749,2
con chó đang mặc gì và ngồi bằng một chiếc xe máy,mũ,472375,0
một số bông hoa nhỏ đang ở đâu,lọ cắm hoa,33323,3
bốn con hươu cao cổ ở đâu,chuồng,555668,3
có bao nhiêu con bò đang đẻ,một,352061,1
màu của chiếc hộp là gì,màu đen,71879,2
cái gì đậu ở lề đường với cửa mở,xe buýt,361073,0
cái gì mắc vào bánh mì thịt kéo,cái nĩa,517861,0
bao nhiêu phụ nữ mặc bikini cưỡi ngựa trên bãi biển,hai,108850,1
đứa trẻ nhỏ đang chơi ở đâu,giường,40757,3
màu của chiếc đĩa là gì,màu cam,342724,2
màu của phòng tắm là gì,màu đen,21622,2
người đàn ông và một người phụ nữ dùng thử một trò chơi video ở đâu,cửa hàng,84489,3
màu của gấu bông là gì,màu nâu,265315,2
những gì ăn từ cây trong tự nhiên,hươu cao cổ,394611,0
những gì chỉ có nhà vệ sinh và bể chứa cho nhà vệ sinh bị treo trên tường phía trên nhà vệ sinh,phòng,411943,0
cái gì đang bay trên một ngọn đồi tuyết lớn,con chim,341567,0
màu sắc của bông hoa là gì,màu trắng,327324,2
màu của bộ đồ là gì,màu xám,110459,2
cái gì đang bay trên bầu trời xanh thẳm,máy bay,379453,0
người đàn ông chụp một bức ảnh của mình ở đâu,gương,513618,3
có gì khi lái xe xuống phố,xe tải,519691,0
con chó và hai người đi xe đạp đi qua một chiếc ghế dài ở đâu,đường phố,399476,3
màu mắt là gì,màu vàng,233379,2
những gì được nhìn thấy qua cửa sổ ướt đẫm mưa,xe ô tô,354829,0
những gì được trang trí với đĩa tròn trên bàn,bánh,510103,0
cô gái có selfie ở đâu,phòng tắm,22341,3
cô gái trẻ đeo kính đang điều chỉnh,cà vạt,338847,0
màu của xe buýt là gì,màu đỏ,354282,2
những gì nằm xuống bên cạnh máy tính xách tay,con mèo,493295,0
cây giáng sinh sáng lên ở đâu,cửa sổ,573094,3
có bao nhiêu con hươu cao cổ trong một cái chuồng đang vươn tới rãnh nước trên mái nhà,hai,385075,1
những gì gặm cỏ trên bờ biển của đại dương xanh,con bò,460407,0
có bao nhiêu chiếc xe tải đang đậu trong một nhà để xe,ba,545749,1
màu của gấu là gì,màu đen,224878,2
con mèo trắng nằm ở đâu,chậu,320563,3
người phụ nữ trẻ cưỡi những gì giữ một lá cờ,con ngựa,385540,0
có bao nhiêu xe máy cảnh sát đang lái xe xuống đường trước một chiếc xe cảnh sát,hai,574299,1
màu sắc của người đàn ông là gì,màu xám,82255,2
"những gì đứng ở bên đường, kéo xe ngựa",con ngựa,430788,0
cái gì nằm trong góc bếp,tủ đá,554523,0
cái gì đang ngồi trong đĩa bạc,sandwich,361739,0
người chơi tennis ở đâu,xe lăn,256879,3
màu của bảng là gì,màu trắng,554106,2
xe lửa rất hiện đại đậu ở đó và trống rỗng cái gì,trạm,346083,0
những gì được bao quanh bởi cây xanh,tòa tháp,349678,0
những gì lộn xộn được định vị ở phía trước cửa sổ,giường,469857,0
màu của bầu trời là gì,màu xanh dương,93667,2
cái gì đầy chuối chín trên bàn,cái rổ,362189,0
những gì đang cuộn tròn trong một nhà vệ sinh,con mèo,557239,0
màu mắt là gì,màu xanh lá,338091,2
có bao nhiêu con hươu cao cổ đang đứng thẳng trong khi con kia bị uốn éo ở một vị trí kỳ lạ,một,233553,1
màu của phòng tắm là gì,màu xanh dương,532509,2
những gì chứa đầy hai hình ảnh đóng khung cũ và đứng đầu với cà vạt cổ,hộp,534178,0
nhiều thiết bị được sắp xếp ở đâu,phòng bếp,101157,3
đoàn tàu nào băng qua cầu vượt và chuyển đường,hàng hoá,344816,0
có bao nhiêu lò vi sóng cũ nằm trên sàn nhà cạnh một cái thùng rác,ba,326445,1
có bao nhiêu con gấu bông nhỏ màu nâu ngồi trên lề đường cạnh một tòa nhà,hai,364850,1
màu sắc của công viên là gì,màu đỏ,120385,2
màu của cây là gì,màu xanh lá,212514,2
những gì nằm trên mảnh gỗ,con chim,452674,0
màu của con mèo là gì,màu xám,577884,2
những gì cuộn tròn trên giường với một cuốn sách bên cạnh anh ta,con mèo,403231,0
cậu bé và một người phụ nữ đang ngồi ở đâu,phòng,581637,3
xúc xích được gói ở đâu,giấy bạc,296159,3
màu của vải là gì,màu tía,3272,2
có bao nhiêu con dê núi đứng giữa đường,ba,353311,1
những gì với giỏ hành lý và những người chờ đợi,trạm,458079,0
màu của áo là gì,màu nâu,11229,2
có bao nhiêu cô gái có bánh nướng nhỏ trước mặt họ,hai,534419,1
con mèo đen đã cuộn tròn ở đâu,cái nồi,439132,3
nhiều bát súp nằm ở đâu,quán ăn,49096,3
có bao nhiêu người đàn ông đang đứng trong phòng khách và giữ điều khiển từ xa wii,hai,103558,1
những gì rơi ra khi anh ấy chơi tennis,nón,525908,0
người phụ nữ đang đưa hành lý của mình ở đâu,trạm,134589,3
những gì chứa đầy đồ nội thất màu xanh trước tv,phòng,570022,0
có bao nhiêu máy bay trên một dải hạ cánh bên cạnh cánh đồng xanh và hàng rào có dây,hai,426840,1
những chàng trai trẻ đang chờ ở đâu,sân bay,36606,3
"người đội mũ bảo hiểm xe đạp, giơ bao nhiêu quả chuối",hai,482439,1
có bao nhiêu người đàn ông đang ngồi trên ngựa đối mặt với nhau,hai,295798,1
những bánh pizza mới được tạo ra ở đâu,quán ăn,43581,3
cái gì đang đỗ bên cạnh vòi cứu hỏa,xe máy,474680,0
màu của chiếc nơ là gì,màu tía,345238,2
những gì đang đi trên con đường đất và cây cối,hươu cao cổ,522315,0
có bao nhiêu đồng đội lấy được cây gậy trong khi chờ đợi cùng các đồng đội khác,một,376342,1
đứa trẻ đang cưỡi cái gì,con ngựa,380634,0
cô bé đặt tay cô ở đâu,món ăn,290163,3
xe đầu kéo kéo cái gì,xe tải,448114,0
màu của xe máy là gì,màu đỏ,496274,2
có bao nhiêu hình ảnh phụ nữ đang ngồi trên bàn với đĩa thức ăn trước mặt,bốn,212672,1
những gì đang cất cánh từ bãi biển cát,máy bay,488270,0
màu của ans là gì,màu vàng,463430,2
những người trượt tuyết và người trượt tuyết di chuyển xuống,núi,415334,0
"những gì đã làm dài, gạch đỏ được gắn dọc theo một kênh lót nhà",con thuyền,434192,0
cái gì đang lơ lửng trên hồ,con thuyền,421757,0
những gì trong bát trên bàn,chuối,480122,0
những gì đỗ trái ngược với một số người khác,xe máy,408830,0
màu của con mèo là gì,màu trắng,462767,2
làm sạch và sẵn sàng để được sử dụng,phòng bếp,437947,0
người phụ nữ chuyển sang đâu để nhìn vào camera,phòng bếp,342702,3
những gì trong nhà để xe trước khi cuộc đua bắt đầu,xe đạp,394002,0
xe máy màu đỏ đang được sửa chữa ở đâu,đường phố,417478,3
những gì trên bãi biển trong một đám đông người,con thuyền,461016,0
cái gì trên sàn với nội dung của nó xung quanh nó,vali,539419,0
có bao nhiêu người tạo dáng với ván trượt trên núi tuyết,bốn,527995,1
phòng tắm nhỏ có bao nhiêu bức tường gỗ giống hệt nhau,bốn,416565,1
những gì được gắn trên các cực trong thành phố,đồng hồ,454329,0
hai người đàn ông đang chơi ở đâu,phòng,380084,3
cậu bé đu dây trong khi đội mũ bảo hiểm lớn làm gì,gậy,370375,0
máy bay đậu ở đâu mà nó được trưng bày,tòa nhà,154068,3
ghế được gấp lại ở đâu,phương tiện giao thông,477061,3
có bao nhiêu hộp đựng thức ăn với cam và cà rốt,bốn,352814,1
nền núi có bao nhiêu con chim đang đậu,ba,217229,1
có bao nhiêu hươu cao cổ đứng đằng sau cái khác trong số các bàn chải,hai,504580,1
màu sắc của những con chó là gì,màu nâu,133295,2
màu của kính là gì,màu xanh dương,58245,2
những gì đứng yên trong môi trường sống của chúng,ngựa vằn,509588,0
những gì được đặt cùng nhau trên đường đi bộ,băng ghế,461573,0
con chó nâu đang nằm ở đâu,giường,372976,3
cậu bé mặc gì trên người,tạp dề,418927,3
những gì đang ngồi trong món ăn trên bàn,con mèo,548498,0
nải lớn của chuối được bao bọc ở đâu,cái túi,118485,3
có bao nhiêu phần ăn tối được phục vụ trên đĩa trắng,ba,467956,1
có bao nhiêu điểm tương phản đánh dấu sự đi qua của các máy bay phản lực này trong sự hình thành,bảy,290192,1
hai con ngựa vằn cọ đầu vào nhau đằng sau làm gì,rào chắn,341950,0
những gì trong một ứng dụng rỗng,chai,430677,0
những gì đỗ ở bên đường,xe buýt,439173,0
"cái gì được dựng lên trên cánh đồng, nơi đàn cừu đang tụ tập",cái lều,564301,0
có bao nhiêu xúc xích trong bánh với lớp phủ tiêu trên một chiếc đĩa trắng,ba,136962,1
cái gì nằm trong thùng chứa với bút và bút đánh dấu,cây kéo,340930,0
xe buýt đang ở đâu,đường phố,476060,3
những gì phục vụ trên bàn trên khay,pizza,562507,0
màu của xe là gì,màu trắng,175500,2
cậu bé đọc sách cho em trai mình ở đâu,giường,274108,3
màu sắc của áo khoác là gì,màu vàng,119304,2
những gì gắn vào phía trước của một cửa hàng,đồng hồ,563731,0
ba người nội trú băng trượt đang ở đâu để đi xe,bát,547089,3
những gì đang ngồi trong cửa sổ bán nhìn bên ngoài cửa sổ,con mèo,574810,0
màu của bông hoa là gì,màu trắng,6263,2
những gì chứa đầy các chai rượu,quán bar,581632,0
có bao nhiêu người trên ban công đang tạo dáng chụp ảnh,năm,225087,1
màu sắc của đèn giao thông là gì,màu vàng,525187,2
ba người phụ nữ đứng ăn pizza ở đâu,phòng bếp,520039,3
những gì ngoài trời đi trên cỏ xanh với cây ở gần,con voi,474170,0
có bao nhiêu người nằm trên bãi biển chụp ảnh người khác đang bay diều,một,504702,1
những gì đang ngồi trong một số bụi cây,gấu,441054,0
cậu bé đang ngồi ở đâu,văn phòng,408957,3
màu của tường là gì,màu trắng,276554,2
những gì bên cạnh một hàng rào,con voi,472349,0
có bao nhiêu chiếc xe đạp màu xanh đậu trước một tòa nhà,hai,478132,1
những gì mặt trời ở bãi biển,chiếc ô,412813,0
người đàn ông đang điều khiển cái gì,xe tải,95178,3
những gì trên đường băng bên cạnh xe tải,máy bay,485237,0
những gì đang đứng cùng nhau trong hàng,ngựa vằn,501243,0
màu sắc của đồng phục là gì,màu đỏ,66444,2
những gì đang đứng trên cỏ xanh,cừu,399957,0
hai người phụ nữ cưỡi trên lưng của ai đó những gì,xe máy,392392,0
có một con ngựa đen và trắng ăn những gì,bãi cỏ,523681,0
cái gì đang đặt trên trên xe,donut,383445,0
màu của áo là gì,màu xám,457822,2
cây bồ công anh chết ở đâu,lọ cắm hoa,569530,3
con bò nói dối ở đâu,đường phố,552093,3
những gì đang cưỡi xe máy xuống đường,con khỉ,495357,0
màu của bảng là gì,màu xanh dương,325648,2
có bao nhiêu chiếc máy bay lớn bên cạnh một vài chiếc máy bay nhỏ hơn,một,192702,1
người phụ nữ mặc những gì đang cưỡi ngựa,mũ,542634,0
màu của thảm là gì,màu xám,355344,2
có bao nhiêu con chó đang đi dạo trên mặt nước trên bãi biển,ba,102367,1
hai người phụ nữ đang chơi trò chơi video ở đâu,phòng,421876,3
người đàn ông đang giữ một điện thoại thông minh là gì,trường hợp,431746,0
những gì chứa đầy xúc xích ngồi trên bàn ngoài trời,đĩa ăn,536708,0
những gì nằm dọc theo con đường dưới tán cây,băng ghế,347210,0
"những gì phủ đầy tuyết, và nhiều tuyết trên mặt đất",băng ghế,522554,0
màu của xe tải là gì,màu trắng,457904,2
con mèo đang ngồi ở đâu,cái ghế,182995,3
cái gì ngồi trên khom lưng trước cửa,con mèo,360943,0
người đang nằm ở đâu,hộp,28782,3
cái gì nằm trong chảo phía trên cho rau cắt nhỏ,gà tây,345137,0
màu của con ngựa là gì,màu nâu,347697,2
những gì đang đứng ngoài nước trong khi những người khác ở trong,con voi,384718,0
những gì trong bãi đậu xe,xe tải,487131,0
có bao nhiêu cô gái xinh đẹp đang ngồi bên ngoài một nhà hàng với một chiếc máy tính xách tay,hai,323728,1
màu của diều là gì,màu vàng,547439,2
bốn bánh rán còn lại nằm ở đâu,hộp,107147,3
những gì đỗ trong bãi đậu xe,xe máy,575544,0
những gì ngồi trên cánh tay của ghế chặn máy tính xách tay,con mèo,408736,0
màu của con mèo là gì,màu đen,509764,2
có bao nhiêu con ngựa dự thảo đang làm việc trong một trang trại vào khoảng năm 1932,sáu,564232,1
xe đạp đang đỗ ở đâu,bồn tắm,541571,3
những chiếc xe kéo xe dọc theo đường ray lót cây là gì,động cơ,335887,0
màu của gối là gì,màu đỏ,560683,2
hai người sốt sắng đang chơi một trò chơi ở đâu,phòng,536938,3
"những trường hợp mở có kích thước, một cái đầy đủ",đồ chơi,568337,0
người đàn ông đang chơi games ở đâu,phòng,283431,3
người đàn ông cưỡi những gì xuống sườn đồi phủ đầy,trượt tuyết,579192,0
những gì đang bay thấp trên thị trấn,máy bay,502347,0
bức tranh treo phía trên nhà vệ sinh hiển thị cái gì,bức ảnh,555677,0
cái gì đang ngồi trong máy tính xách tay,con mèo,425027,0
"có bao nhiêu đứa trẻ đang chơi đá bóng, một đứa đá quả bóng",ba,419223,1
con mèo đang cuộn tròn ở đâu,quả bóng,452872,3
hai người đang chơi boxing ở đâu,phòng,337814,3
trên bàn chứa đầy các loại trái cây khác nhau,cái lọ,344222,0
những gì đứng trên thành phố,tòa tháp,532759,0
một số người đang được kéo bởi một con ngựa nâu ở đâu,xe đẩy,42441,3
người đàn ông cầm một con dơi và mặc những gì,mũ,348469,0
người chơi quần vợt đang nhìn khắp sân ở đâu,sân vận động,437816,3
những gì cho thấy đồng nghiệp bối rối nhìn chằm chằm vào máy tính xách tay,bức tranh,519479,0
người đặt một ít nho ở đâu,bát,359775,3
những gì chứa bánh rán và một tách cà phê,cái mâm,571847,0
màu của chiếc thuyền là gì,màu xanh lá,556207,2
người đang nhìn lên gì có một tảng băng phủ đầy dấu vết động vật tươi sống trên đó,đồi,464207,0
màu của con chó là gì,màu trắng,282039,2
bắn cái gì trên đường thành phố với vài chiếc ô tô đang đậu,vòi,376284,0
người lính mất điện thoại ở đâu,văn phòng,323789,3
con mèo đang nằm ở đâu,phòng,233970,3
có bao nhiêu ván lướt sóng được đặt trên bãi cỏ gần vỉa hè,năm,319406,1
màu của lửa là gì,màu đỏ,74524,2
màu của tòa án là gì,màu xanh dương,397772,2
màu của vùng đất là gì,màu xanh lá,265831,2
màu của gấu là gì,màu nâu,334373,2
màu của chiếc ô là gì,màu cam,214460,2
có bao nhiêu cầu thủ bóng chày trên sân trong một trận đấu,năm,15472,1
người phụ nữ đang sử dụng một công cụ ktichen để tạo ra thứ gì đó ở đâu,bát,464650,3
một con voi ăn một số thực phẩm ở đâu,chuồng,169947,3
màu sắc của giày là gì,màu tía,474356,2
những gì đang đậu cạnh nhau,xe máy,359451,0
cô gái trẻ đang xem điện thoại của cô ấy ở đâu,cái ghế,175541,3
có bao nhiêu biển báo tên đường và biển chỉ dẫn,ba,382115,1
người phụ nữ ngồi ở đâu với hai chân nâng lên,băng ghế,205007,3
người đàn ông mặc gì,cà vạt,565670,0
màu của con chó là gì,màu đen,80094,2
những gì đang đi qua đường phố được bao quanh bởi cây cối,xe buýt,415536,0
những gì được mô tả trang trí theo phong cách victoria,phòng bếp,478490,0
màu của chiếc bình là gì,màu đen,136993,2
"những gì kéo lên bên cạnh điểm dừng, chờ đợi mọi người vào",xe buýt,505162,0
màu của ghế là gì,màu đỏ,572358,2
có bao nhiêu đường chỉ dẫn phía trước những cánh cửa sơn màu,một,237860,1
màu sắc của bông hoa là gì,màu trắng,234452,2
có bao nhiêu người đang ngồi trước tòa nhà màu vàng với một chiếc xe máy,sáu,486628,1
những gì ăn cỏ một mình bởi một hồ nước,con cừu,546980,0
người đàn ông chuẩn bị nhiều thức ăn ở đâu,phòng bếp,82729,3
màu của con bò là gì,màu nâu,423455,2
màu của bầu trời là gì,màu xanh dương,323230,2
khỉ cưỡi trên đường là gì,xe máy,495357,0
nhóm trẻ em đang ngủ ở đâu,giường,366373,3
những gì đứng trên đỉnh của một đồng hồ đỗ xe,con chim,542625,0
những gì đang cất cánh từ một đường chạy của cảng hàng không,máy bay,342490,0
cửa sổ nhỏ trong một bức tường gỗ là gì,phòng tắm,436392,0
