,question,answer,img_id,type
31,những gì bay trên bầu trời u ám,máy bay,443450,0
32,có bao nhiêu phụ nữ mặc váy hoa đang ngồi vào bàn,bốn,430257,1
33,cái gì đang ngồi trên thớt bên cạnh lớp phủ,pizza,512989,0
34,những gì trong nước bên ngoài lễ hội,con thuyền,527098,0
35,khách của đám cưới tập trung ở đâu,nhà ở,236370,3
36,những gì đứng gần nhau ăn từ một máng ăn,hươu cao cổ,504024,0
37,những gì được kéo gần nhiều công trình xây dựng,con ngựa,495786,0
38,những gì bay trước một tháp pháo đồng hồ đá,cờ,516178,0
39,có bao nhiêu barstools bên cạnh quầy bar nhà bếp được thiết lập,ba,90122,1
40,có bao nhiêu bông hoa màu đỏ được cắm trong bình,bốn,176612,1
41,"cha và hai con là gì trên bãi biển, xem con trai bay",diều,394909,0
42,có bao nhiêu đứa trẻ đang nằm cùng nhau trên giường của chúng,bốn,372729,1
43,pizza chứa ở đâu,hộp,92181,3
44,những gì nằm trên tấm chăn màu xanh lá cây gần một con mèo ngồi,con mèo,387383,0
45,màu của lửa là gì,màu vàng,208894,2
46,người đàn ông có râu mũm mĩm đang cầm cái gì,đồ uống,347254,0
47,những gì dừng lại để trả phí đỗ xe cho phụ nữ,xe ô tô,418701,0
48,màu của cây là gì,màu xanh lá,212514,2
49,màu của dĩa nhựa là gì,màu vàng,162828,2
50,hai người chụp ảnh ở đâu,gương,29041,3
51,người phụ nữ đang nói chuyện ở đâu,xe ô tô,152566,3
52,cái gì nằm trên ngọn cây,gấu,347529,0
53,những gì đang kéo trên một dây giày bằng da với miệng của nó,con chó,476796,0
54,màu sắc của các tính năng là gì,màu đen,342709,2
55,bánh với sô cô la phủ sương và một chiếc bánh có sương giá trắng,hộp,416875,3
56,cái gì đây đang giữ một cái bánh sandwich hai tầng,đĩa ăn,430056,0
57,màu của chiếc thẻ là gì,màu vàng,139618,2
58,"salad làm từ cà rốt, đậu xanh và zucchini chứa ở đâu",thùng chứa,473866,3
59,màu của con mèo là gì,màu xám,84448,2
60,màu của con chó là gì,màu trắng,111583,2
61,màu của con ngựa là gì,màu nâu,245235,2
62,màu của dấu hiệu là gì,màu đỏ,288131,2
63,cái gì đang kéo chiếc máy bay lớn,xe ô tô,525344,0
64,rèm tắm được phản chiếu ở đâu,gương,178785,3
65,những chiếc xe kéo được dừng lại ở ga tàu,tàu hỏa,423215,0
66,màu của chiếc đĩa là gì,màu vàng,324401,2
67,màu của bên trong là gì,màu đỏ,409216,2
68,những gì đang đứng đằng sau bụi cây,con voi,534151,0
69,màu sắc của những con ngựa là gì,màu trắng,494637,2
70,những gì trong nhà để xe trước khi cuộc đua bắt đầu,xe đạp,394002,0
71,cái gì nằm bên cạnh chiếc bánh pizza đĩa lớn,đĩa ăn,358075,0
72,người đàn ông mang gì trong khu vực nhà bếp,tạp dề,282889,3
73,đầu bếp chuẩn bị một bữa ăn ở đâu,phòng bếp,550617,3
74,chàng trai trẻ đang giữ gì,máy ảnh,482605,0
75,cừu trưởng thành và em bé ở đâu,chuồng,468280,3
76,người đang giữ cái đĩa theo loại kỷ niệm bao nhiêu,táo,537506,0
77,có bao nhiêu người đàn ông đứng trên một bãi đá gần một bụi cây,hai,42493,1
78,người đàn ông đang cầm với một vết cắn được lấy ra khỏi nó là gì,donut,412604,0
79,mặt mèo được phản chiếu ở đâu,gương,292993,3
80,màu của dấu hiệu là gì,màu xanh dương,211439,2
81,có bao nhiêu đứa trẻ nhỏ trên ván trượt tuyết với tuyết và cây trong nền,hai,294712,1
82,những gì đỗ so với hàng rào một chiếc xe hơi và tòa nhà,xe đạp,435444,0
83,con ngựa vẽ những gì đi trên một cánh đồng,xe tải,532994,0
84,những gì đặt trước một bức tường gạch,băng ghế,576941,0
85,những gì đang nằm trên chảo kim loại,pizza,556478,0
86,những gì được bao phủ trong vàng sáng,đồng hồ,547221,0
87,nhóm người đang ngồi ở đâu,phòng,164381,3
88,"có bao nhiêu cậu bé ném bóng, một cậu bé trên sân bóng chày",một,578567,1
89,những chiếc xe kéo xe dọc theo đường ray lót cây là gì,động cơ,335887,0
90,những gì đang đặt trên cỏ với nhau,táo,363574,0
91,một số trẻ em đang cưỡi trên một đoạn đường dốc,ván trượt,409345,0
92,màu của băng ghế là gì,màu đỏ,189330,2
93,màu của bầu trời là gì,màu xanh dương,335255,2
94,những gì nghỉ ngơi trong cốc với các điểm đánh dấu và các công cụ khác,cây kéo,410924,0
95,những gì đi giữa những chiếc xe trong một bãi đậu xe,con ngựa,368335,0
96,điều gì cho thấy người phụ nữ khỏa thân sử dụng máy tính xách tay của cô ấy,bức tranh,437720,0
97,người đang tắm cho một con chó ở đâu,bồn tắm,467252,3
98,những gì đỗ trên đường đua,tàu hỏa,500335,0
99,những gì đang dần đi xuống dây chuyền lắp ráp,donut,565245,0
100,màu của ottoman là gì,màu đen,253785,2
101,màu của chiếc bình là gì,màu cam,312430,2
102,những gì ở làn đường bên trái của giao thông,xe ô tô,581887,0
103,hình ảnh của một con chó được phản chiếu ở đâu,gương,428116,3
104,màu của tòa nhà là gì,màu đỏ,374723,2
105,màu của ghế là gì,màu xanh dương,258854,2
106,màu của sự cân bằng là gì,màu xám,308812,2
107,những gì cho thấy đồng nghiệp bối rối nhìn chằm chằm vào máy tính xách tay,bức tranh,519479,0
108,có bao nhiêu con hươu cao cổ cao đứng cạnh nhau,hai,480842,1
109,đầu bếp đang chuẩn bị ở đâu,phòng bếp,511031,3
110,đứa trẻ đang ở đâu,cái ghế,448843,3
111,nhà vệ sinh đang ở đâu,phòng tắm,55002,3
112,màu của gấu là gì,màu nâu,420544,2
113,màu sắc của đèn giao thông là gì,màu vàng,525187,2
114,julienned những gì trong món ăn trên quầy bếp,rau,528866,0
115,màn hình nào ngồi phía trên bàn phím,máy vi tính,366225,0
116,nơi chụp ảnh tự sướng ở đâu,cửa,114510,3
117,người đàn ông trẻ tuổi đang ở đâu,phòng tắm,505385,3
118,có bao nhiêu người đang tận hưởng thời gian của họ trên bãi biển,bảy,168453,1
119,những gì bên cạnh một số gậy của nó,lọ cắm hoa,400847,0
120,chai rượu ở đâu,tủ lạnh,492183,3
121,người đàn ông mang theo những gì chạy vào đại dương,ván lướt sóng,401897,0
122,màu của bó hoa là gì,màu xanh dương,521657,2
123,giường ngủ gọn gàng ở đâu,phòng ngủ,484123,3
124,người phụ nữ cầm chiếc ô ở đâu,cửa sổ,89207,3
125,màu của phòng tắm là gì,màu trắng,562849,2
126,những gì đang bay qua một khu rừng đầy cây,con vẹt,498381,0
127,màu của tường là gì,màu xám,539675,2
128,có bao nhiêu chiếc bánh pizza nhỏ được phục vụ trên đĩa gỗ,bốn,324635,1
129,người phụ nữ tóc vàng mang những gì,kính râm,563909,0
130,những gì đứng với khung chrome và sự phản chiếu của một cánh cửa trong đó,gương,431234,0
131,những gì kéo dài lưỡi dài của nó trong khi ngáp,gấu,417465,0
132,những gì đang sống với tv màn hình phẳng và âm thanh vòm,phòng,437218,0
133,nhà vệ sinh trắng đang đặt ở đâu,phòng tắm,534521,3
134,nhà vệ sinh và bồn tắm ở đâu,phòng tắm,382542,3
135,con ngựa vàng nhìn qua cổng ở đâu,chuồng,500977,3
136,màu của con chim là gì,màu vàng,74828,2
137,con voi con cong vào miệng nó bên cạnh bùn hoặc nước là gì,thân cây,551459,0
138,người phụ nữ đang ngồi ở đâu,cái ghế,203112,3
139,người đàn ông đứng ở đâu trong khi chuẩn bị thức ăn,phòng bếp,94807,3
140,màu của con bò là gì,màu đen,137806,2
141,hai con voi đứng ở đâu,chuồng,463751,3
142,màu của áo là gì,màu trắng,110142,2
143,màu sắc của cái đó là gì,màu đỏ,169499,2
144,hai con ngựa vằn và ăn gì trong một đồng cỏ khô,bãi cỏ,569674,0
145,nhặt những gì đậu ở rất nhiều trên đường,xe tải,371054,0
146,những gì đang đeo dây cương đang đi qua rừng,con ngựa,366830,0
147,màu sắc của chiếc váy là gì,màu đỏ,381244,2
148,những gì đang đi từ máy ảnh,gấu,397518,0
149,người phụ nữ trong chiếc áo sơ mi trắng chơi một trò chơi video ở đâu,phòng,551974,3
150,kích thước trung bình đi bộ trong bao vây của mình là gì,con voi,402357,0
151,màu của con mèo là gì,màu cam,168963,2
152,một người phụ nữ lớn tuổi chuẩn bị thức ăn ở đâu,phòng bếp,11701,3
153,những bông hoa màu vàng ở đâu,lọ cắm hoa,580766,3
154,có bao nhiêu người đang băng qua sông trên một con voi,hai,433714,1
155,màu của quần jean là gì,màu xanh dương,337663,2
156,những gì đứng gần một con cá sấu trên một cánh đồng,ngựa rằn,490749,0
157,màu của lửa là gì,màu đỏ,137745,2
158,những gì nhìn về phía trước từ cánh đồng thực vật,gấu,452263,0
159,con thỏ nhồi bông nằm ở đâu,chậu,193599,3
160,những gì nằm trong phòng tắm dưới tủ,nhà vệ sinh,389128,0
161,những gì được bao quanh bởi các đám mây,đồi,578362,0
162,cô bé đang ăn hotdog và cưỡi ngựa ở đâu,xe đẩy,489739,3
163,cặp vợ chồng đứng ở đâu,sân bay,299618,3
164,những gì đỗ trên một phi đạo ở phía trước của một tòa nhà,sân bay,539808,0
165,có bao nhiêu thanh niên xếp hàng với ván trượt,bốn,359778,1
166,bồ vệ sinh nằm ở đâu,phòng tắm,212074,3
167,ba người tìm kiếm gì khi ngồi ở bàn,điện thoại,537270,0
168,có bao nhiêu người cầm ly rượu trên bàn,hai,90569,1
169,có bao nhiêu nhà vệ sinh đối diện nhau với rào cản riêng tư,hai,115709,1
170,có bao nhiêu con ngựa vằn đang gặm cỏ trên đồng cỏ,bốn,100661,1
171,người đàn ông mặc một chiến thắng và giữ những gì đứng trên nền đêm khói,dao,538394,0
172,màu của áo là gì,màu đen,89943,2
173,những gì đang đứng và nằm trên bãi cát,con voi,433374,0
174,màu sắc của đồ chơi là gì,màu vàng,30149,2
175,những gì chứa đầy gấu bông nhồi và các mặt hàng khác,cái kệ,488388,0
176,băng ghế trống và bảng xếp hàng ở đâu ,tòa nhà,532504,3
177,người phụ nữ sử dụng máy xay sinh tố ở đâu,phòng bếp,575060,3
178,người phụ nữ đang đứng ở đâu,phòng bếp,294751,3
179,con chó nhỏ đang ở đâu,hành lang,150211,3
180,cái gì đang đậu ở nhà ga sân bay,máy bay,532390,0
181,một số bông cải xanh ở đâu,món ăn,66708,3
182,màu của dấu hiệu là gì,màu vàng,443735,2
183,cậu bé xem gì,quả bóng,417590,0
184,người đàn ông chuẩn bị bánh sandwich ở đâu,quán ăn,168173,3
185,đĩa rau ở đâu,đĩa ăn,421656,3
186,có bao nhiêu câu chuyện thuyền đang trôi trong hồ có núi bao quanh,hai,391926,1
187,màu của con ngựa là gì,màu nâu,305661,2
188,khu vườn với nhiều cây xanh là gì,sân vườn,382333,0
189,cái gì đang đỗ trên đường trước một tòa nhà,xe máy,566278,0
190,có bao nhiêu máy tính trên một cái bàn rất lộn xộn trong một văn phòng tường gạch,ba,459825,1
191,con voi nhỏ bé cắn một đường ray ở đâu,chuồng,461967,3
192,màu của con mèo là gì,màu trắng,275831,2
193,màu của chiếc ô là gì,màu cam,285826,2
194,con mèo đen lớn nằm ở đâu,cái ghế,458166,3
195,màu của chiếc ô là gì,màu vàng,182960,2
196,cậu bé cầm cái mũ che mặt,gậy,370375,0
197,hai người đàn ông đang cưỡi ngựa trước trường là gì,xe đạp,403937,0
198,người thanh niên mặc quần đùi ném cho bạn tình của mình cái gì,dĩa nhựa,361623,0
199,màu của mèo con là gì,màu đen,26733,2
200,màu của quả táo là gì,màu vàng,282583,2
201,cái gì trên cột dưới một bộ cửa sổ,đồng hồ,560358,0
202,"táo, quả mâm xôi và hạt cà phê nổi bật ở đâu",ảnh chụp,99295,3
203,những gì nổi lên trên mặt nước,con vịt,572574,0
204,con mèo lớn nằm ở đâu,cái rổ,419273,3
205,màu của bảng là gì,màu nâu,331249,2
206,những gì được hình dung trong bóng tối,dấu hiệu,334642,0
207,mọi người cùng nhau trượt tuyết xuống tuyết bao phủ cái gì,núi,376751,0
208,hai người đàn ông trong trang phục ăn bánh rán,cửa hàng,269004,3
209,những gì đang tìm kiếm các cửa sổ đối diện của một khung cửa,con chó,423410,0
210,màu của cốc là gì,màu xanh dương,265036,2
211,những gì được bao phủ bởi ánh sáng lấp lánh đang ngồi bên trong một căn phòng,nhà vệ sinh,352584,0
212,người đàn ông đang ngồi ở đâu,phòng,47249,3
213,có bao nhiêu con hươu cao cổ đứng cạnh màn hình ai cập giả,ba,55973,1
214,cái gì nằm bên cạnh lốp sau của một chiếc ô tô,con mèo,336372,0
215,có bao nhiêu người đàn ông mặc đồng phục cưỡi ngựa băng qua đồng cỏ,bốn,403567,1
216,màu của chiếc tàu là gì,màu xanh lá,308292,2
217,nơi nấu ăn chuẩn bị thức ăn và bữa ăn,phòng bếp,331759,3
218,những gì bên cạnh ví đang ngồi trên bàn,điện thoại,384335,0
219,có bao nhiêu trẻ em mà tất cả các cô gái chơi trò chơi điện tử trên tv,bốn,470267,1
220,màu sắc của những con chim là gì,màu đen,153946,2
221,điều gì đang phát điên qua đám đông người trên vỉa hè,xe buýt,539498,0
222,người đàn ông đang cầm một cây gậy bóng cơ bản và nổi bật trong một trò chơi là gì,quả bóng,390718,0
223,những gì đang phát triển bên trong chai màu xanh lá cây,cây,580608,0
224,nhà vệ sinh hiện đại nằm ở đâu,phòng tắm,71907,3
225,màu của chiếc hộp là gì,màu đen,71879,2
226,tất cả những gì đang đỗ dọc theo lề đường,xe ô tô,437859,0
227,những gì khiến đường hầm được bao quanh bởi một khu rừng,tàu hỏa,528404,0
228,cái gì đang đậu trên cỏ,xe tải,338428,0
229,màu của bầu trời là gì,màu xanh dương,93667,2
230,những gì đứng dưới ánh nắng mặt trời khi nó nhìn vào máy ảnh trong sở thú,con voi,402357,0
231,những gì đang chạy trên một cánh đồng phủ đầy cỏ,hươu cao cổ,392933,0
232,màu của xe là gì,màu xanh dương,466597,2
233,có bao nhiêu con chim trắng trên lưng voi,hai,58483,1
234,màu của dĩa nhựa là gì,màu cam,309168,2
235,cái gì đang nằm trên một cái dĩa,pizza,556703,0
236,hàng bồn vệ sinh ở đâu,nhà vệ sinh,61527,3
237,những gì đang ngồi cạnh bàn phím,chuột,447548,0
238,có bao nhiêu người trên ván trượt tuyết trong khi một người cũng có bánh xe,ba,31151,1
239,có bao nhiêu con gấu đang tắm trong khi người kia chỉ cần vào,một,576307,1
240,màu của ô tô là gì,màu vàng,447135,2
241,màu của xe tải là gì,màu đỏ,227418,2
242,những gì đang được chuẩn bị trên chảo,pizza,408906,0
243,màu của cái bát là gì,màu xanh dương,7367,2
244,những gì hiển thị trên phục vụ platter để tiêu thụ,pizza,389477,0
245,nhóm đầu bếp nấu ăn ở đâu,phòng bếp,16125,3
246,bồn rửa trắng đang đặt ở đâu,vòi hoa sen,569887,3
247,màu của xe buýt là gì,màu đỏ,576012,2
248,có bao nhiêu người đang chăm chú nhìn vào một cái hang gấu,năm,454683,1
249,con gì nằm bên trong nôi,mèo con,581402,0
250,màu sắc của cánh là gì,màu vàng,216036,2
251,có bao nhiêu người phụ nữ đeo lưới che tóc trong nhà bếp,hai,102353,1
252,người đàn ông tập dùng điện thoại di động của mình ở đâu,xe điện ngầm,241126,3
253,cái kéo và hạt màu xanh lá cây để ở đâu,bát,481120,3
254,có bao nhiêu chiếc xe buýt màu trắng trên đường phố bên cạnh hàng cây,hai,236381,1
255,có gì dựa vào gối,gấu,577077,0
256,con mèo lông xám ngồi ở đâu,chậu,72605,3
257,những gì đỗ trên mặt đường màu đen bên cạnh nhau,xe máy,443351,0
258,có bao nhiêu người đang học cách lướt sóng trên bãi biển đầy cát,bốn,172556,1
259,đâu là một vài con hươu cao cổ đứng,chuồng,576902,3
260,có bao nhiêu nhân viên văn phòng đeo cà vạt sặc sỡ và cầm chai nước sốt,bốn,268516,1
261,có bao nhiêu chiếc xe tải đang đậu trong một nhà để xe,ba,545749,1
262,người phụ nữ đang chụp ảnh tự sướng ở đâu,phòng tắm,93553,3
263,những gì được thiết lập trên bãi biển dưới ánh mặt trời,chiếc ô,514607,0
264,màu của bầu trời là gì,màu xám,195721,2
265,những gì đang ngồi trong cửa sổ bán nhìn bên ngoài cửa sổ,con mèo,574810,0
266,có bao nhiêu đứa trẻ ngồi trên chiếc ghế dài và nhìn vào tivi,hai,571644,1
267,người đó cầm gì với một số thức ăn trên đó,đĩa ăn,360600,0
268,"người phụ nữ trông có vẻ không quan hệ như vậy, túi bông cải xanh lớn, cô đang giữ",cửa hàng,202168,3
269,cái gì đang đỗ gần lề đường,xe đạp,540187,0
270,màu của bộ đồ là gì,màu đen,96800,2
271,có bao nhiêu con bò được xếp hàng trong khi,bảy,485185,1
272,những gì nằm bên cạnh kệ giữ nhiều chai khác nhau,tủ lạnh,533589,0
273,màu của gia súc là gì,màu đen,297465,2
274,cái gì đang rúc vào sở thú trong khu trưng bày của họ,ngựa vằn,341950,0
275,cái gì trên đĩa gần một tách cà phê,donut,505899,0
276,những gì được bao phủ trong gấu bông nâu trong một cửa hàng bách hóa,cây,580284,0
277,"những gì có một màn hình máy tính, bàn phím và một tách cà phê",cái bàn,482974,0
278,"những gì được bao quanh bởi những chiếc lá đầy màu sắc, rơi, mùa thu",băng ghế,496093,0
279,màu sắc của bữa tối là gì,màu trắng,342363,2
280,những gì tách biệt với nhau bằng một hàng rào dây và gỗ,hươu cao cổ,474471,0
281,cậu bé đang ngồi ở đâu,chậu,18542,3
282,cắt đang ngồi trên đĩa là gì,sandwich,417608,0
283,người đàn ông kiểm tra sự phản ánh của mình ở đâu,gương,135392,3
284,cái gì đang nhìn vào máy ảnh trong một sở thú,hươu cao cổ,502311,0
285,những gì đang nhìn ra một dãy núi và một người đang nhìn theo hướng ngược lại của người khác,con bò,414679,0
286,có bao nhiêu chàng trai mang theo ván lướt sóng khi họ cùng nhau đi bộ xuống bãi biển,ba,107753,1
287,có bao nhiêu người cầm ly rượu vang trên bàn ăn,sáu,104747,1
288,những gì tạo ra màu xanh lá cây dịu,phòng,357957,0
289,người phụ nữ với một chiếc ô đang ngồi ở đâu,cái ghế,464317,3
290,cái gì đã làm cho giống chó dalmatian,vòi,354278,0
291,cô gái ngồi ở đâu,giường,494671,3
292,cậu bé và một người phụ nữ đang ngồi ở đâu,phòng,581637,3
293,bao nhiêu máy bay phản lực màu đỏ bay trong không khí và để lại một vệt khói,chín,532753,1
294,có bao nhiêu con mèo đứng trong bồn rửa trong khi con kia ngủ trong toilet,một,473500,1
295,có bao nhiêu thanh niên đang chơi trò ném đĩa trên cánh đồng,hai,93332,1
296,màu của quầy là gì,màu xanh dương,59906,2
297,màu của bánh xe là gì,màu vàng,211116,2
298,những gì đang ngồi bên cạnh lò sưởi trong nhà của người nào đó,cái ghế,349321,0
299,cái gì trong đỉnh tháp,đồng hồ,449392,0
300,người đàn ông đang dọn dẹp bồn cầu ở đâu,phòng tắm,342045,3
301,người phụ nữ tắm cho hai đứa trẻ ở đâu,bồn tắm,176947,3
302,cái gì mà cái bìa kẹo nằm trên cái đĩa trắng vậy,bánh,475990,0
303,người đàn ông đi tiểu ở đâu,nhà vệ sinh,530033,3
304,có bao nhiêu người ở một nơi đầy tuyết gần hàng rào gỗ,hai,489145,1
305,có bao nhiêu người đàn ông đang ngồi trên bàn ăn,hai,526987,1
306,có gì để treo hình thành trần nhà với chữ số la mã,đồng hồ,551403,0
307,người đang cưỡi ván trượt xuống phía tuyết bao phủ là gì,núi,336427,0
308,"xe buýt metro lái qua chi nhánh hồ green của seattle, wa những gì",thư viện,408621,0
309,những gì đang ngồi trong một bãi đậu xe bẩn,xe tải,424554,0
310,có bao nhiêu con ngựa đi trên một dải đất khô cằn,năm,64377,1
311,những gì sắp có dã ngoại riêng của họ,gấu,468778,0
312,người đang nằm ở đâu,giường,436468,3
313,những gì liên tiếp trong một phòng tắm bị phá hủy,phòng tắm,566189,0
314,màu của chiếc mũ là gì,màu trắng,411937,2
315,"người ăn ở đâu, đưa ngón tay cái lên",quán ăn,482122,3
316,màu của xe buýt là gì,màu vàng,42705,2
317,những gì ở cuối một con đường đông đúc,tòa tháp,566026,0
318,ba con ngựa vằn uống nước ở đâu,chuồng,330532,3
319,những gì chứa đầy các chai rượu,quán bar,581632,0
320,màu của áo là gì,màu tía,318162,2
321,những gì sạch sẽ và sẵn sàng cho khách hàng sử dụng,nhà vệ sinh,510606,0
322,có bao nhiêu con hươu cao cổ đứng trong lùm cây nhỏ,ba,334080,1
323,màu của chiếc ô là gì,màu đỏ,183330,2
324,người ngồi xem mọi người chơi trong nước ở đâu,cái ghế,160967,3
325,những gì đang đi trên đỉnh của một cánh đồng phủ cỏ,con voi,435783,0
326,có bao nhiêu điện thoại di động trên bàn gỗ,ba,568367,1
327,có một người đàn ông mặc những gì và nói chuyện điện thoại,nón,535750,0
328,hoa màu tím và trắng ở đâu,lọ cắm hoa,162164,3
329,màu của ánh sáng là gì,màu vàng,65612,2
330,những gì nằm như một cái khác đứng xung quanh một cấu trúc làm bằng gậy gỗ,con bò,518363,0
331,có bao nhiêu mét đậu xe bị tuyết bao phủ,hai,73823,1
332,cái gì bị lật bên đường,xe tải,497791,0
333,người phụ nữ đang ở đâu,phòng bếp,246106,3
334,cái gì trên giá của chiếc xe,vali,573105,0
335,những gì đang đi xung quanh không gian hạn chế của mình tại sở thú,gấu,547645,0
336,màu của lá là gì,màu xanh lá,200796,2
337,cặp vợ chồng cưỡi trên bãi biển là gì,con ngựa,434247,0
338,những gì đang ngồi trước một tv được bật,con chó,407202,0
339,những gì đang ngồi trong một sân tàu,xe ô tô,560111,0
340,cái gì giữ máy tính xách tay và máy tính để bàn,cái bàn,493753,0
341,màu của con mèo là gì,màu cam,286141,2
342,con mèo trắng ngủ ở đâu,cái rổ,519716,3
343,người phụ nữ đang chụp ảnh sự phản chiếu của cô ấy ở đâu,gương,95383,3
344,những gì ngồi trong bình bằng nước,bông hoa,530457,0
345,màu sắc của nêm là gì,màu cam,518901,2
346,có bao nhiêu người đàn ông mặc trang phục chụp ảnh cùng nhau,hai,453557,1
347,những gì đỗ trái ngược với một số người khác,xe máy,408830,0
348,màu của xe buýt là gì,màu vàng,149598,2
349,người phụ nữ đội mũ mang theo bao nhiêu điện thoại di động,năm,138772,1
350,nhà vệ sinh màu trắng ở đâu,phòng tắm,502364,3
351,"những gì rất tối, chuỗi để xả bồn cầu nằm trên tường",phòng tắm,409500,0
352,những gì tàu kéo than đứng trên một mặt trước một kho,tàu,546524,0
353,những gì bắt nguồn từ bình đầy đá,cây,546674,0
354,những gì nhai trên chai soda trống,con chó,460430,0
355,màu của hoa hồng là gì,màu đỏ,34973,2
356,một số người đang được kéo bởi một con ngựa nâu ở đâu,xe đẩy,42441,3
357,người lướt sóng đang giữ một ván lướt sóng trắng mang gì,áo ba lỗ,461838,0
358,người đàn ông ở đâu,nhà vệ sinh,505385,3
359,màu đỏ và làm bằng thủy tinh là gì,lọ cắm hoa,400847,0
360,màu tóc là gì,màu đen,90989,2
361,người đang đi xuống một vỉa hè giữ những gì,chiếc ô,575243,0
362,những gì ngồi trên bàn,bánh,544421,0
363,có bao nhiêu nhà vệ sinh xếp hàng trên bàn bên ngoài cạnh bức vẽ graffiti trên một tòa nhà,bảy,389418,1
364,màu của bầu trời là gì,màu xanh dương,397010,2
365,rất nhiều đồ vật trang trí động vật đặt ở đâu,cái ghế,176767,3
366,những gì ở bãi đất trống phía trước dãy núi,con bò,486203,0
367,những gì đang đi xuống đường ray xe lửa,tàu hỏa,450464,0
368,màu của xe buýt là gì,màu vàng,244870,2
369,có bao nhiêu con hươu cao cổ đang ăn lá bị treo ở một khu đất trống,bốn,57866,1
370,ba quả chuối chín nằm ở đâu,bát,491029,3
371,những gì đứng bên lề đường với một dây nịt trên,con ngựa,463522,0
372,màu của con mèo là gì,màu trắng,462767,2
373,người đàn ông đang giúp một đứa trẻ nhỏ ở đâu,cửa hàng,338894,3
374,người đang giữ gì trước một hàng rào,chuối,414736,0
375,ba vali đang nằm ở đâu,sàn nhà,72995,3
376,những gì đang dựa vào một bức tường bê tông bên cạnh đường ray xe lửa,xe đạp,506577,0
377,"những gì chứa đầy bánh sandwich, quả mọng cắt lát và dưa chuột thái lát",thùng chứa,368581,0
378,có gì đang đi dọc theo khúc gỗ,gấu,357219,0
379,những gì có những con chó nóng và khoai tây chiên với đồ uống,cái mâm,397734,0
380,gấu bông cầm bao nhiêu hộp bánh pizza,ba,34183,1
381,con vật màu đen có thể là một con mèo ở đâu,vali,335092,3
382,bàn với hai màn hình máy tính được nhìn thấy ở đâu,phòng ngủ,397253,3
383,những gì đang nằm trên cỏ trong khi một cái khác đứng bên một hàng rào và với đầu phía sau một cái cây,hươu cao cổ,515962,0
384,những gì chất đống với đống hành lý rất cao,xe đẩy,374352,0
385,con ngựa kéo một người đàn ông xuống một con đường thành phố ở đâu,toa xe,202004,3
386,những gì đang ngồi trên cỏ,gấu,539678,0
387,hai người đang chơi ở đâu,phòng,91998,3
388,cái gì dừng lại ở đoạn đường nối dẫn đến đường cao tốc,xe ô tô,365618,0
389,bông hoa màu xanh bên cạnh quả lê ở đâu,lọ cắm hoa,228376,3
390,những gì đỗ trên đường hẹp ngồi trước một chiếc xe mô hình cũ,xe máy,488943,0
391,màu của cửa là gì,màu đỏ,157181,2
392,những gì nghẹt nhau trên đỉnh một số tảng đá,gấu,399921,0
393,màu của con chó là gì,màu nâu,322945,2
394,những gì kéo lên trong tín hiệu giao thông,xe tải,419378,0
395,hai chiếc giường và tủ quần áo ở đâu,phòng,103386,3
396,cậu bé hạnh phúc ăn món ở đâu,quán ăn,253955,3
